OMRÅDE;BEVOKSNING;TID;INDHOLD
Gladsaxe;Rødgran;2000;24,8
Gladsaxe;Sitkagran mv.;1990;0,0
Gladsaxe;Sitkagran mv.;2000;0,0
Gladsaxe;Nobilis;1990;0,0
Gladsaxe;Nobilis;2000;0,0
Gladsaxe;Nordmannsgran;1990;0,0
Gladsaxe;Nordmannsgran;2000;0,0
Gladsaxe;Andre ædelgranarter;1990;0,0
Gladsaxe;Andre ædelgranarter;2000;0,0
Gladsaxe;Andre nåletræarter;1990;7,8
Gladsaxe;Andre nåletræarter;2000;7,1
Glostrup;Skovareal i alt;1990;159,3
Glostrup;Skovareal i alt;2000;134,9
Glostrup;Hjælpearealer;1990;14,5
Glostrup;Hjælpearealer;2000;1,1
Glostrup;Skovbevokset areal i alt;1990;144,8
Glostrup;Skovbevokset areal i alt;2000;133,8
Glostrup;Midlertidig ubevokset;1990;18,3
Glostrup;Midlertidig ubevokset;2000;0,5
Glostrup;Løvtræer, areal i alt;1990;91,8
Glostrup;Løvtræer, areal i alt;2000;99,1
Glostrup;Bøg;1990;36,5
Glostrup;Bøg;2000;41,7
Glostrup;Eg;1990;30,2
Glostrup;Eg;2000;48,5
Glostrup;Ask;1990;0,0
Glostrup;Ask;2000;0,0
Glostrup;Ær (Ahorn);1990;2,4
Glostrup;Ær (Ahorn);2000;0,6
Glostrup;Andre løvtræarter;1990;22,7
Glostrup;Andre løvtræarter;2000;8,3
Glostrup;Nåletræer i alt;1990;34,7
Glostrup;Nåletræer i alt;2000;34,2
Glostrup;Rødgran;1990;5,6
Glostrup;Rødgran;2000;8,4
Glostrup;Sitkagran mv.;1990;0,0
Glostrup;Sitkagran mv.;2000;0,0
Glostrup;Nobilis;1990;8,2
Glostrup;Nobilis;2000;0,0
Glostrup;Nordmannsgran;1990;0,0
Glostrup;Nordmannsgran;2000;8,4
Glostrup;Andre ædelgranarter;1990;0,0
Glostrup;Andre ædelgranarter;2000;0,0
Glostrup;Andre nåletræarter;1990;20,9
Glostrup;Andre nåletræarter;2000;17,4
Herlev;Skovareal i alt;1990;0,0
Herlev;Skovareal i alt;2000;0,0
Herlev;Hjælpearealer;1990;0,0
Herlev;Hjælpearealer;2000;0,0
Herlev;Skovbevokset areal i alt;1990;0,0
Herlev;Skovbevokset areal i alt;2000;0,0
Herlev;Midlertidig ubevokset;1990;0,0
Herlev;Midlertidig ubevokset;2000;0,0
Herlev;Løvtræer, areal i alt;1990;0,0
Herlev;Løvtræer, areal i alt;2000;0,0
Herlev;Bøg;1990;0,0
Herlev;Bøg;2000;0,0
Herlev;Eg;1990;0,0
Herlev;Eg;2000;0,0
Herlev;Ask;1990;0,0
Herlev;Ask;2000;0,0
Herlev;Ær (Ahorn);1990;0,0
Herlev;Ær (Ahorn);2000;0,0
Herlev;Andre løvtræarter;1990;0,0
Herlev;Andre løvtræarter;2000;0,0
Herlev;Nåletræer i alt;1990;0,0
Herlev;Nåletræer i alt;2000;0,0
Herlev;Rødgran;1990;0,0
Herlev;Rødgran;2000;0,0
Herlev;Sitkagran mv.;1990;0,0
Herlev;Sitkagran mv.;2000;0,0
Herlev;Nobilis;1990;0,0
Herlev;Nobilis;2000;0,0
Herlev;Nordmannsgran;1990;0,0
Herlev;Nordmannsgran;2000;0,0
Herlev;Andre ædelgranarter;1990;0,0
Herlev;Andre ædelgranarter;2000;0,0
Herlev;Andre nåletræarter;1990;0,0
Herlev;Andre nåletræarter;2000;0,0
Hvidovre;Skovareal i alt;1990;11,5
Hvidovre;Skovareal i alt;2000;3,2
Hvidovre;Hjælpearealer;1990;1,0
Hvidovre;Hjælpearealer;2000;3,2
Hvidovre;Skovbevokset areal i alt;1990;10,5
Hvidovre;Skovbevokset areal i alt;2000;0,0
Hvidovre;Midlertidig ubevokset;1990;1,3
Hvidovre;Midlertidig ubevokset;2000;0,0
Hvidovre;Løvtræer, areal i alt;1990;8,7
Hvidovre;Løvtræer, areal i alt;2000;0,0
Hvidovre;Bøg;1990;0,0
Hvidovre;Bøg;2000;0,0
Hvidovre;Eg;1990;0,6
Hvidovre;Eg;2000;0,0
Hvidovre;Ask;1990;0,0
Hvidovre;Ask;2000;0,0
Hvidovre;Ær (Ahorn);1990;0,0
Hvidovre;Ær (Ahorn);2000;0,0
Hvidovre;Andre løvtræarter;1990;8,1
Hvidovre;Andre løvtræarter;2000;0,0
Hvidovre;Nåletræer i alt;1990;0,5
Hvidovre;Nåletræer i alt;2000;0,0
Hvidovre;Rødgran;1990;0,0
Hvidovre;Rødgran;2000;0,0
Hvidovre;Sitkagran mv.;1990;0,0
Hvidovre;Sitkagran mv.;2000;0,0
Hvidovre;Nobilis;1990;0,0
Hvidovre;Nobilis;2000;0,0
Hvidovre;Nordmannsgran;1990;0,0
Hvidovre;Nordmannsgran;2000;0,0
Hvidovre;Andre ædelgranarter;1990;0,0
Hvidovre;Andre ædelgranarter;2000;0,0
Hvidovre;Andre nåletræarter;1990;0,5
Hvidovre;Andre nåletræarter;2000;0,0
Høje Taastrup;Skovareal i alt;1990;70,4
Høje Taastrup;Skovareal i alt;2000;120,4
Høje Taastrup;Hjælpearealer;1990;2,5
Høje Taastrup;Hjælpearealer;2000;3,0
Høje Taastrup;Skovbevokset areal i alt;1990;67,9
Høje Taastrup;Skovbevokset areal i alt;2000;117,4
Høje Taastrup;Midlertidig ubevokset;1990;2,5
Høje Taastrup;Midlertidig ubevokset;2000;0,0
Høje Taastrup;Løvtræer, areal i alt;1990;6,1
Høje Taastrup;Løvtræer, areal i alt;2000;45,8
Høje Taastrup;Bøg;1990;0,0
Høje Taastrup;Bøg;2000;8,8
Høje Taastrup;Eg;1990;2,4
Høje Taastrup;Eg;2000;24,2
Høje Taastrup;Ask;1990;0,1
Høje Taastrup;Ask;2000;0,0
Høje Taastrup;Ær (Ahorn);1990;0,4
Høje Taastrup;Ær (Ahorn);2000;0,4
Høje Taastrup;Andre løvtræarter;1990;3,2
Høje Taastrup;Andre løvtræarter;2000;12,4
Høje Taastrup;Nåletræer i alt;1990;59,3
Høje Taastrup;Nåletræer i alt;2000;71,6
Høje Taastrup;Rødgran;1990;19,3
Høje Taastrup;Rødgran;2000;24,7
Høje Taastrup;Sitkagran mv.;1990;0,0
Høje Taastrup;Sitkagran mv.;2000;0,0
Høje Taastrup;Nobilis;1990;0,0
Høje Taastrup;Nobilis;2000;3,4
Høje Taastrup;Nordmannsgran;1990;31,2
Høje Taastrup;Nordmannsgran;2000;32,3
Høje Taastrup;Andre ædelgranarter;1990;6,1
Høje Taastrup;Andre ædelgranarter;2000;0,0
Høje Taastrup;Andre nåletræarter;1990;2,7
